gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_amplification_cases	cohort_cnv_amplification_cases_percentage	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_heterozygous_deletion_cases	cohort_cnv_heterozygous_deletion_cases_percentage	num_cohort_cnv_homozygous_deletion_cases	cohort_cnv_homozygous_deletion_cases_percentage	num_mutations	annotations
ENSG00000121289	CEP89	centrosomal protein 89	19q13.11	protein_coding	2	513	0.39	207	18289	1.13	511	0	0.00	22	4.31	193	37.77	0	0.00	2	Cancer Gene Census
ENSG00000121966	CXCR4	C-X-C motif chemokine receptor 4	2q22.1	protein_coding	2	513	0.39	147	18289	0.80	511	1	0.20	8	1.57	13	2.54	0	0.00	2	Cancer Gene Census
ENSG00000121989	ACVR2A	activin A receptor type 2A	2q22.3, 2q23.1	protein_coding	2	513	0.39	418	18289	2.29	511	1	0.20	6	1.17	16	3.13	0	0.00	2	Cancer Gene Census
ENSG00000122779	TRIM24	tripartite motif containing 24	7q33, 7q34	protein_coding	2	513	0.39	265	18289	1.45	511	26	5.09	132	25.83	2	0.39	0	0.00	2	Cancer Gene Census
ENSG00000123364	HOXC13	homeobox C13	12q13.13	protein_coding	2	513	0.39	126	18289	0.69	511	1	0.20	10	1.96	57	11.15	1	0.20	2	Cancer Gene Census
ENSG00000123473	STIL	STIL centriolar assembly protein	1p33	protein_coding	2	513	0.39	272	18289	1.49	511	2	0.39	10	1.96	179	35.03	1	0.20	3	Cancer Gene Census
ENSG00000125354	SEPTIN6	septin 6	Xq24	protein_coding	2	513	0.39	181	18289	0.99	511	0	0.00	0	0.00	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000125618	PAX8	paired box 8	2q14.1	protein_coding	2	513	0.39	173	18289	0.95	511	1	0.20	10	1.96	7	1.37	0	0.00	2	Cancer Gene Census
ENSG00000126012	KDM5C	lysine demethylase 5C	Xp11.22	protein_coding	2	513	0.39	446	18289	2.44	511	0	0.00	0	0.00	0	0.00	0	0.00	4	Cancer Gene Census
ENSG00000126883	NUP214	nucleoporin 214	9q34.13	protein_coding	2	513	0.39	399	18289	2.18	511	2	0.39	26	5.09	33	6.46	0	0.00	4	Cancer Gene Census
ENSG00000127946	HIP1	huntingtin interacting protein 1	7q11.23	protein_coding	2	513	0.39	265	18289	1.45	511	17	3.33	88	17.22	4	0.78	0	0.00	2	Cancer Gene Census
ENSG00000130382	MLLT1	MLLT1 super elongation complex subunit	19p13.3	protein_coding	2	513	0.39	141	18289	0.77	511	0	0.00	38	7.44	10	1.96	0	0.00	2	Cancer Gene Census
ENSG00000131653	TRAF7	TNF receptor associated factor 7	16p13.3	protein_coding	2	513	0.39	172	18289	0.94	511	1	0.20	10	1.96	11	2.15	0	0.00	2	Cancer Gene Census
ENSG00000133703	KRAS	KRAS proto-oncogene, GTPase	12p12.1	protein_coding	2	513	0.39	2091	18289	11.43	511	13	2.54	24	4.70	12	2.35	0	0.00	2	Cancer Gene Census
ENSG00000134352	IL6ST	interleukin 6 signal transducer	5q11.2	protein_coding	2	513	0.39	202	18289	1.10	511	2	0.39	6	1.17	21	4.11	0	0.00	2	Cancer Gene Census
ENSG00000134574	DDB2	damage specific DNA binding protein 2	11p11.2	protein_coding	2	513	0.39	94	18289	0.51	511	0	0.00	13	2.54	41	8.02	0	0.00	1	Cancer Gene Census
ENSG00000136167	LCP1	lymphocyte cytosolic protein 1	13q14.13	protein_coding	2	513	0.39	180	18289	0.98	511	1	0.20	3	0.59	103	20.16	0	0.00	2	Cancer Gene Census
ENSG00000136826	KLF4	Kruppel like factor 4	9q31.2	protein_coding	2	513	0.39	136	18289	0.74	511	2	0.39	19	3.72	29	5.68	0	0.00	2	Cancer Gene Census
ENSG00000138376	BARD1	BRCA1 associated RING domain 1	2q35	protein_coding	2	513	0.39	221	18289	1.21	511	1	0.20	9	1.76	19	3.72	0	0.00	3	Cancer Gene Census
ENSG00000138448	ITGAV	integrin subunit alpha V	2q32.1	protein_coding	2	513	0.39	297	18289	1.62	511	1	0.20	7	1.37	14	2.74	0	0.00	3	Cancer Gene Census
ENSG00000139083	ETV6	ETS variant transcription factor 6	12p13.2	protein_coding	2	513	0.39	242	18289	1.32	511	12	2.35	28	5.48	13	2.54	0	0.00	3	Cancer Gene Census
ENSG00000140396	NCOA2	nuclear receptor coactivator 2	8q13.3	protein_coding	2	513	0.39	353	18289	1.93	511	5	0.98	34	6.65	9	1.76	0	0.00	2	Cancer Gene Census
ENSG00000140521	POLG	DNA polymerase gamma, catalytic subunit	15q26.1	protein_coding	2	513	0.39	253	18289	1.38	511	2	0.39	10	1.96	45	8.81	0	0.00	2	Cancer Gene Census
ENSG00000140538	NTRK3	neurotrophic receptor tyrosine kinase 3	15q25.3	protein_coding	2	513	0.39	612	18289	3.35	511	2	0.39	11	2.15	43	8.41	0	0.00	3	Cancer Gene Census
ENSG00000142611	PRDM16	PR/SET domain 16	1p36.32	protein_coding	2	513	0.39	421	18289	2.30	511	2	0.39	7	1.37	195	38.16	0	0.00	3	Cancer Gene Census
ENSG00000143322	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1q25.2	protein_coding	2	513	0.39	339	18289	1.85	511	2	0.39	24	4.70	5	0.98	0	0.00	2	Cancer Gene Census
ENSG00000143379	SETDB1	SET domain bifurcated histone lysine methyltransferase 1	1q21.3	protein_coding	2	513	0.39	333	18289	1.82	511	2	0.39	26	5.09	3	0.59	0	0.00	2	Cancer Gene Census
ENSG00000143549	TPM3	tropomyosin 3	1q21.3	protein_coding	2	513	0.39	147	18289	0.80	511	2	0.39	26	5.09	3	0.59	0	0.00	2	Cancer Gene Census
ENSG00000143970	ASXL2	ASXL transcriptional regulator 2	2p23.3	protein_coding	2	513	0.39	385	18289	2.11	511	1	0.20	7	1.37	14	2.74	0	0.00	2	Cancer Gene Census
ENSG00000144218	AFF3	AF4/FMR2 family member 3	2q11.2	protein_coding	2	513	0.39	500	18289	2.73	511	1	0.20	10	1.96	5	0.98	0	0.00	2	Cancer Gene Census
ENSG00000145216	FIP1L1	factor interacting with PAPOLA and CPSF1	4q12	protein_coding	2	513	0.39	163	18289	0.89	511	15	2.94	6	1.17	37	7.24	0	0.00	2	Cancer Gene Census
ENSG00000147050	KDM6A	lysine demethylase 6A	Xp11.3	protein_coding	2	513	0.39	524	18289	2.87	511	0	0.00	0	0.00	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000147140	NONO	non-POU domain containing octamer binding	Xq13.1	protein_coding	2	513	0.39	170	18289	0.93	511	0	0.00	0	0.00	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000151348	EXT2	exostosin glycosyltransferase 2	11p11.2	protein_coding	2	513	0.39	181	18289	0.99	511	0	0.00	15	2.94	45	8.81	0	0.00	2	Cancer Gene Census
ENSG00000151532	VTI1A	vesicle transport through interaction with t-SNAREs 1A	10q25.2	protein_coding	2	513	0.39	62	18289	0.34	511	1	0.20	0	0.00	125	24.46	0	0.00	3	Cancer Gene Census
ENSG00000151702	FLI1	Fli-1 proto-oncogene, ETS transcription factor	11q24.3	protein_coding	2	513	0.39	241	18289	1.32	511	3	0.59	52	10.18	14	2.74	0	0.00	3	Cancer Gene Census
ENSG00000152217	SETBP1	SET binding protein 1	18q12.3	protein_coding	2	513	0.39	647	18289	3.54	511	1	0.20	9	1.76	50	9.78	0	0.00	4	Cancer Gene Census
ENSG00000152942	RAD17	RAD17 checkpoint clamp loader component	5q13.2	protein_coding	2	513	0.39	136	18289	0.74	511	2	0.39	5	0.98	25	4.89	0	0.00	3	Cancer Gene Census
ENSG00000154767	XPC	XPC complex subunit, DNA damage recognition and repair factor	3p25.1	protein_coding	2	513	0.39	159	18289	0.87	511	3	0.59	14	2.74	26	5.09	0	0.00	3	Cancer Gene Census
ENSG00000154803	FLCN	folliculin	17p11.2	protein_coding	2	513	0.39	187	18289	1.02	511	0	0.00	7	1.37	7	1.37	0	0.00	3	Cancer Gene Census
ENSG00000156531	PHF6	PHD finger protein 6	Xq26.2	protein_coding	2	513	0.39	164	18289	0.90	511	0	0.00	0	0.00	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000156976	EIF4A2	eukaryotic translation initiation factor 4A2	3q27.3	protein_coding	2	513	0.39	224	18289	1.22	511	2	0.39	9	1.76	30	5.87	0	0.00	2	Cancer Gene Census
ENSG00000157765	SLC34A2	solute carrier family 34 member 2	4p15.2	protein_coding	2	513	0.39	285	18289	1.56	511	2	0.39	10	1.96	40	7.83	0	0.00	3	Cancer Gene Census
ENSG00000158715	SLC45A3	solute carrier family 45 member 3	1q32.1	protein_coding	2	513	0.39	149	18289	0.81	511	2	0.39	21	4.11	11	2.15	0	0.00	3	Cancer Gene Census
ENSG00000159216	RUNX1	RUNX family transcription factor 1	21q22.12	protein_coding	2	513	0.39	307	18289	1.68	511	1	0.20	14	2.74	27	5.28	0	0.00	3	Cancer Gene Census
ENSG00000160271	RALGDS	ral guanine nucleotide dissociation stimulator	9q34.13, 9q34.2	protein_coding	2	513	0.39	210	18289	1.15	511	2	0.39	26	5.09	35	6.85	0	0.00	3	Cancer Gene Census
ENSG00000160789	LMNA	lamin A/C	1q22	protein_coding	2	513	0.39	185	18289	1.01	511	4	0.78	31	6.07	3	0.59	0	0.00	2	Cancer Gene Census
ENSG00000160867	FGFR4	fibroblast growth factor receptor 4	5q35.2	protein_coding	2	513	0.39	266	18289	1.45	511	3	0.59	6	1.17	44	8.61	0	0.00	2	Cancer Gene Census
ENSG00000160957	RECQL4	RecQ like helicase 4	8q24.3	protein_coding	2	513	0.39	233	18289	1.27	511	13	2.54	59	11.55	26	5.09	2	0.39	3	Cancer Gene Census
ENSG00000162733	DDR2	discoidin domain receptor tyrosine kinase 2	1q23.3	protein_coding	2	513	0.39	315	18289	1.72	511	2	0.39	27	5.28	4	0.78	0	0.00	2	Cancer Gene Census
ENSG00000162924	REL	REL proto-oncogene, NF-kB subunit	2p16.1	protein_coding	2	513	0.39	134	18289	0.73	511	1	0.20	8	1.57	13	2.54	0	0.00	2	Cancer Gene Census
ENSG00000163161	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	2q14.3	protein_coding	2	513	0.39	213	18289	1.16	511	1	0.20	9	1.76	9	1.76	0	0.00	2	Cancer Gene Census
ENSG00000163513	TGFBR2	transforming growth factor beta receptor 2	3p24.1	protein_coding	2	513	0.39	289	18289	1.58	511	3	0.59	8	1.57	32	6.26	0	0.00	3	Cancer Gene Census
ENSG00000164330	EBF1	EBF transcription factor 1	5q33.3	protein_coding	2	513	0.39	315	18289	1.72	511	3	0.59	5	0.98	51	9.98	0	0.00	2	Cancer Gene Census
ENSG00000164362	TERT	telomerase reverse transcriptase	5p15.33	protein_coding	2	513	0.39	312	18289	1.71	511	4	0.78	12	2.35	41	8.02	0	0.00	2	Cancer Gene Census
ENSG00000164683	HEY1	hes related family bHLH transcription factor with YRPW motif 1	8q21.13	protein_coding	2	513	0.39	88	18289	0.48	511	6	1.17	36	7.05	8	1.57	0	0.00	2	Cancer Gene Census
ENSG00000164754	RAD21	RAD21 cohesin complex component	8q24.11	protein_coding	2	513	0.39	214	18289	1.17	511	19	3.72	68	13.31	5	0.98	0	0.00	2	Cancer Gene Census
ENSG00000164985	PSIP1	PC4 and SFRS1 interacting protein 1	9p22.3	protein_coding	2	513	0.39	177	18289	0.97	511	1	0.20	13	2.54	128	25.05	1	0.20	2	Cancer Gene Census
ENSG00000165392	WRN	WRN RecQ like helicase	8p12	protein_coding	2	513	0.39	305	18289	1.67	511	2	0.39	25	4.89	12	2.35	0	0.00	5	Cancer Gene Census
ENSG00000165699	TSC1	TSC complex subunit 1	9q34.13	protein_coding	2	513	0.39	309	18289	1.69	511	2	0.39	26	5.09	35	6.85	0	0.00	2	Cancer Gene Census
ENSG00000166949	SMAD3	SMAD family member 3	15q22.33	protein_coding	2	513	0.39	177	18289	0.97	511	2	0.39	5	0.98	44	8.61	0	0.00	2	Cancer Gene Census
ENSG00000167460	TPM4	tropomyosin 4	19p13.12, 19p13.11	protein_coding	2	513	0.39	89	18289	0.49	511	1	0.20	39	7.63	4	0.78	0	0.00	2	Cancer Gene Census
ENSG00000168646	AXIN2	axin 2	17q24.1	protein_coding	2	513	0.39	288	18289	1.57	511	4	0.78	27	5.28	5	0.98	0	0.00	2	Cancer Gene Census
ENSG00000168685	IL7R	interleukin 7 receptor	5p13.2	protein_coding	2	513	0.39	359	18289	1.96	511	2	0.39	8	1.57	23	4.50	0	0.00	2	Cancer Gene Census
ENSG00000169083	AR	androgen receptor	Xq12	protein_coding	2	513	0.39	407	18289	2.23	511	0	0.00	0	0.00	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000169862	CTNND2	catenin delta 2	5p15.2	protein_coding	2	513	0.39	822	18289	4.49	511	3	0.59	6	1.17	36	7.05	0	0.00	3	Cancer Gene Census
ENSG00000170234	PWWP2A	PWWP domain containing 2A	5q33.3	protein_coding	2	513	0.39	125	18289	0.68	511	3	0.59	5	0.98	51	9.98	0	0.00	2	Cancer Gene Census
ENSG00000171302	CANT1	calcium activated nucleotidase 1	17q25.3	protein_coding	2	513	0.39	113	18289	0.62	511	3	0.59	27	5.28	9	1.76	0	0.00	2	Cancer Gene Census
ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1	1p36.31, 1p36.23	protein_coding	2	513	0.39	542	18289	2.96	511	2	0.39	6	1.17	206	40.31	0	0.00	3	Cancer Gene Census
ENSG00000173575	CHD2	chromodomain helicase DNA binding protein 2	15q26.1	protein_coding	2	513	0.39	400	18289	2.19	511	2	0.39	14	2.74	43	8.41	0	0.00	3	Cancer Gene Census
ENSG00000173757	STAT5B	signal transducer and activator of transcription 5B	17q21.2	protein_coding	2	513	0.39	240	18289	1.31	511	0	0.00	10	1.96	13	2.54	0	0.00	2	Cancer Gene Census
ENSG00000175197	DDIT3	DNA damage inducible transcript 3	12q13.3	protein_coding	2	513	0.39	44	18289	0.24	511	15	2.94	12	2.35	49	9.59	0	0.00	2	Cancer Gene Census
ENSG00000175387	SMAD2	SMAD family member 2	18q21.1	protein_coding	2	513	0.39	194	18289	1.06	511	1	0.20	9	1.76	49	9.59	0	0.00	2	Cancer Gene Census
ENSG00000175595	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	16p13.12	protein_coding	2	513	0.39	229	18289	1.25	511	1	0.20	9	1.76	10	1.96	0	0.00	2	Cancer Gene Census
ENSG00000177565	TBL1XR1	TBL1X receptor 1	3q26.32	protein_coding	2	513	0.39	210	18289	1.15	511	3	0.59	7	1.37	26	5.09	0	0.00	2	Cancer Gene Census
ENSG00000178105	DDX10	DEAD-box helicase 10	11q22.3	protein_coding	2	513	0.39	191	18289	1.04	511	0	0.00	35	6.85	14	2.74	0	0.00	4	Cancer Gene Census
ENSG00000178562	CD28	CD28 molecule	2q33.2	protein_coding	2	513	0.39	80	18289	0.44	511	1	0.20	9	1.76	16	3.13	0	0.00	2	Cancer Gene Census
ENSG00000179218	CALR	calreticulin	19p13.13	protein_coding	2	513	0.39	106	18289	0.58	511	0	0.00	39	7.63	8	1.57	0	0.00	3	Cancer Gene Census
ENSG00000179399	GPC5	glypican 5	13q31.3	protein_coding	2	513	0.39	371	18289	2.03	511	2	0.39	7	1.37	81	15.85	0	0.00	2	Cancer Gene Census
ENSG00000179750	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	22q13.1	protein_coding	2	513	0.39	116	18289	0.63	511	0	0.00	10	1.96	50	9.78	0	0.00	2	Cancer Gene Census
ENSG00000182162	P2RY8	P2Y receptor family member 8	Xp22.33	protein_coding	2	513	0.39	267	18289	1.46	511	0	0.00	0	0.00	0	0.00	0	0.00	3	Cancer Gene Census
ENSG00000182197	EXT1	exostosin glycosyltransferase 1	8q24.11	protein_coding	2	513	0.39	253	18289	1.38	511	19	3.72	69	13.50	5	0.98	0	0.00	2	Cancer Gene Census
ENSG00000183765	CHEK2	checkpoint kinase 2	22q12.1	protein_coding	2	513	0.39	187	18289	1.02	511	0	0.00	8	1.57	42	8.22	0	0.00	2	Cancer Gene Census
ENSG00000184384	MAML2	mastermind like transcriptional coactivator 2	11q21	protein_coding	2	513	0.39	282	18289	1.54	511	1	0.20	38	7.44	11	2.15	0	0.00	2	Cancer Gene Census
ENSG00000185811	IKZF1	IKAROS family zinc finger 1	7p12.2	protein_coding	2	513	0.39	368	18289	2.01	511	19	3.72	74	14.48	1	0.20	0	0.00	2	Cancer Gene Census
ENSG00000186174	BCL9L	BCL9 like	11q23.3	protein_coding	2	513	0.39	397	18289	2.17	511	4	0.78	51	9.98	14	2.74	0	0.00	2	Cancer Gene Census
ENSG00000187239	FNBP1	formin binding protein 1	9q34.11	protein_coding	2	513	0.39	161	18289	0.88	511	2	0.39	27	5.28	31	6.07	0	0.00	4	Cancer Gene Census
ENSG00000187741	FANCA	FA complementation group A	16q24.3	protein_coding	2	513	0.39	299	18289	1.63	511	1	0.20	9	1.76	22	4.31	0	0.00	3	Cancer Gene Census
ENSG00000197157	SND1	staphylococcal nuclease and tudor domain containing 1	7q32.1	protein_coding	2	513	0.39	312	18289	1.71	511	24	4.70	133	26.03	2	0.39	0	0.00	4	Cancer Gene Census
ENSG00000197299	BLM	BLM RecQ like helicase	15q26.1	protein_coding	2	513	0.39	287	18289	1.57	511	2	0.39	12	2.35	44	8.61	0	0.00	2	Cancer Gene Census
ENSG00000198400	NTRK1	neurotrophic receptor tyrosine kinase 1	1q23.1	protein_coding	2	513	0.39	310	18289	1.70	511	4	0.78	31	6.07	3	0.59	0	0.00	2	Cancer Gene Census
ENSG00000203734	ECT2L	epithelial cell transforming 2 like	6q24.1	protein_coding	2	513	0.39	210	18289	1.15	511	0	0.00	2	0.39	74	14.48	0	0.00	4	Cancer Gene Census
ENSG00000204713	TRIM27	tripartite motif containing 27	6p22.1	protein_coding	2	513	0.39	148	18289	0.81	511	0	0.00	9	1.76	25	4.89	0	0.00	2	Cancer Gene Census
ENSG00000204843	DCTN1	dynactin subunit 1	2p13.1	protein_coding	2	513	0.39	304	18289	1.66	511	1	0.20	6	1.17	12	2.35	0	0.00	2	Cancer Gene Census
ENSG00000205755	CRLF2	cytokine receptor like factor 2	Xp22.33	protein_coding	2	513	0.39	114	18289	0.62	511	0	0.00	0	0.00	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000215301	DDX3X	DEAD-box helicase 3 X-linked	Xp11.4	protein_coding	2	513	0.39	341	18289	1.86	511	0	0.00	0	0.00	0	0.00	0	0.00	2	Cancer Gene Census
ENSG00000266412	NCOA4	nuclear receptor coactivator 4	10q11.22	protein_coding	2	513	0.39	126	18289	0.69	511	2	0.39	3	0.59	75	14.68	0	0.00	2	Cancer Gene Census
ENSG00000006468	ETV1	ETS variant transcription factor 1	7p21.2	protein_coding	1	513	0.19	263	18289	1.44	511	17	3.33	76	14.87	4	0.78	0	0.00	1	Cancer Gene Census
ENSG00000009709	PAX7	paired box 7	1p36.13	protein_coding	1	513	0.19	229	18289	1.25	511	2	0.39	10	1.96	184	36.01	0	0.00	1	Cancer Gene Census
ENSG00000023445	BIRC3	baculoviral IAP repeat containing 3	11q22.2	protein_coding	1	513	0.19	174	18289	0.95	511	1	0.20	40	7.83	13	2.54	0	0.00	1	Cancer Gene Census
ENSG00000026103	FAS	Fas cell surface death receptor	10q23.31	protein_coding	1	513	0.19	154	18289	0.84	511	1	0.20	1	0.20	98	19.18	2	0.39	1	Cancer Gene Census
ENSG00000036257	CUL3	cullin 3	2q36.2	protein_coding	1	513	0.19	278	18289	1.52	511	1	0.20	8	1.57	23	4.50	1	0.20	1	Cancer Gene Census
ENSG00000040731	CDH10	cadherin 10	5p14.2, 5p14.1	protein_coding	1	513	0.19	873	18289	4.77	511	2	0.39	12	2.35	29	5.68	0	0.00	1	Cancer Gene Census
ENSG00000047932	GOPC	golgi associated PDZ and coiled-coil motif containing	6q22.1	protein_coding	1	513	0.19	104	18289	0.57	511	0	0.00	2	0.39	67	13.11	0	0.00	1	Cancer Gene Census
ENSG00000048462	TNFRSF17	TNF receptor superfamily member 17	16p13.13	protein_coding	1	513	0.19	57	18289	0.31	511	1	0.20	10	1.96	9	1.76	0	0.00	1	Cancer Gene Census
ENSG00000048471	SNX29	sorting nexin 29	16p13.13, 16p13.12	protein_coding	1	513	0.19	241	18289	1.32	511	1	0.20	10	1.96	9	1.76	0	0.00	1	Cancer Gene Census
ENSG00000049540	ELN	elastin	7q11.23	protein_coding	1	513	0.19	258	18289	1.41	511	17	3.33	84	16.44	4	0.78	0	0.00	1	Cancer Gene Census
ENSG00000051108	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	16q13	protein_coding	1	513	0.19	82	18289	0.45	511	1	0.20	10	1.96	19	3.72	0	0.00	1	Cancer Gene Census
ENSG00000051382	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	3q22.3	protein_coding	1	513	0.19	267	18289	1.46	511	1	0.20	4	0.78	29	5.68	0	0.00	1	Cancer Gene Census
ENSG00000064933	PMS1	PMS1 homolog 1, mismatch repair system component	2q32.2	protein_coding	1	513	0.19	205	18289	1.12	511	1	0.20	7	1.37	16	3.13	0	0.00	2	Cancer Gene Census
ENSG00000065057	NTHL1	nth like DNA glycosylase 1	16p13.3	protein_coding	1	513	0.19	81	18289	0.44	511	1	0.20	10	1.96	11	2.15	0	0.00	2	Cancer Gene Census
ENSG00000065361	ERBB3	erb-b2 receptor tyrosine kinase 3	12q13.2	protein_coding	1	513	0.19	431	18289	2.36	511	2	0.39	12	2.35	53	10.37	1	0.20	1	Cancer Gene Census
ENSG00000066117	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	12q13.12	protein_coding	1	513	0.19	117	18289	0.64	511	1	0.20	9	1.76	58	11.35	1	0.20	2	Cancer Gene Census
ENSG00000067560	RHOA	ras homolog family member A	3p21.31	protein_coding	1	513	0.19	160	18289	0.87	511	1	0.20	5	0.98	43	8.41	0	0.00	1	Cancer Gene Census
ENSG00000070404	FSTL3	follistatin like 3	19p13.3	protein_coding	1	513	0.19	38	18289	0.21	511	2	0.39	48	9.39	16	3.13	0	0.00	1	Cancer Gene Census
ENSG00000071564	TCF3	transcription factor 3	19p13.3	protein_coding	1	513	0.19	164	18289	0.90	511	0	0.00	42	8.22	16	3.13	0	0.00	1	Cancer Gene Census
ENSG00000073614	KDM5A	lysine demethylase 5A	12p13.33	protein_coding	1	513	0.19	407	18289	2.23	511	12	2.35	41	8.02	19	3.72	0	0.00	2	Cancer Gene Census
ENSG00000073803	MAP3K13	mitogen-activated protein kinase kinase kinase 13	3q27.2	protein_coding	1	513	0.19	273	18289	1.49	511	2	0.39	12	2.35	25	4.89	0	0.00	1	Cancer Gene Census
ENSG00000073921	PICALM	phosphatidylinositol binding clathrin assembly protein	11q14.2	protein_coding	1	513	0.19	153	18289	0.84	511	0	0.00	36	7.05	11	2.15	0	0.00	2	Cancer Gene Census
ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	1p36.13	protein_coding	1	513	0.19	314	18289	1.72	511	2	0.39	9	1.76	185	36.20	0	0.00	5	Cancer Gene Census
ENSG00000076685	NT5C2	5'-nucleotidase, cytosolic II	10q24.32, 10q24.33	protein_coding	1	513	0.19	117	18289	0.64	511	1	0.20	2	0.39	107	20.94	0	0.00	1	Cancer Gene Census
ENSG00000077150	NFKB2	nuclear factor kappa B subunit 2	10q24.32	protein_coding	1	513	0.19	173	18289	0.95	511	1	0.20	2	0.39	104	20.35	0	0.00	1	Cancer Gene Census
ENSG00000078061	ARAF	A-Raf proto-oncogene, serine/threonine kinase	Xp11.3	protein_coding	1	513	0.19	199	18289	1.09	511	0	0.00	0	0.00	0	0.00	0	0.00	1	Cancer Gene Census
ENSG00000078399	HOXA9	homeobox A9	7p15.2	protein_coding	1	513	0.19	94	18289	0.51	511	18	3.52	75	14.68	2	0.39	0	0.00	1	Cancer Gene Census
ENSG00000078403	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	10p12.31	protein_coding	1	513	0.19	260	18289	1.42	511	14	2.74	44	8.61	73	14.29	0	0.00	1	Cancer Gene Census
ENSG00000080824	HSP90AA1	heat shock protein 90 alpha family class A member 1	14q32.31	protein_coding	1	513	0.19	211	18289	1.15	511	1	0.20	4	0.78	88	17.22	0	0.00	1	Cancer Gene Census
ENSG00000083799	CYLD	CYLD lysine 63 deubiquitinase	16q12.1	protein_coding	1	513	0.19	279	18289	1.53	511	1	0.20	10	1.96	17	3.33	0	0.00	2	Cancer Gene Census
ENSG00000085832	EPS15	epidermal growth factor receptor pathway substrate 15	1p32.3	protein_coding	1	513	0.19	208	18289	1.14	511	2	0.39	10	1.96	181	35.42	1	0.20	1	Cancer Gene Census
ENSG00000087088	BAX	BCL2 associated X, apoptosis regulator	19q13.33	protein_coding	1	513	0.19	85	18289	0.46	511	0	0.00	18	3.52	242	47.36	0	0.00	1	Cancer Gene Census
ENSG00000087460	GNAS	GNAS complex locus	20q13.32	protein_coding	1	513	0.19	472	18289	2.58	511	3	0.59	38	7.44	1	0.20	0	0.00	1	Cancer Gene Census
ENSG00000088038	CNOT3	CCR4-NOT transcription complex subunit 3	19q13.42	protein_coding	1	513	0.19	238	18289	1.30	511	0	0.00	20	3.91	255	49.90	1	0.20	1	Cancer Gene Census
ENSG00000088256	GNA11	G protein subunit alpha 11	19p13.3	protein_coding	1	513	0.19	132	18289	0.72	511	0	0.00	39	7.63	14	2.74	0	0.00	1	Cancer Gene Census
ENSG00000091483	FH	fumarate hydratase	1q43	protein_coding	1	513	0.19	149	18289	0.81	511	4	0.78	24	4.70	19	3.72	0	0.00	1	Cancer Gene Census
ENSG00000095002	MSH2	mutS homolog 2	2p21, 2p16.3	protein_coding	1	513	0.19	225	18289	1.23	511	1	0.20	9	1.76	12	2.35	0	0.00	1	Cancer Gene Census
ENSG00000096384	HSP90AB1	heat shock protein 90 alpha family class B member 1	6p21.1	protein_coding	1	513	0.19	218	18289	1.19	511	1	0.20	6	1.17	17	3.33	0	0.00	1	Cancer Gene Census
ENSG00000097007	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9q34.12	protein_coding	1	513	0.19	293	18289	1.60	511	2	0.39	27	5.28	33	6.46	0	0.00	3	Cancer Gene Census
ENSG00000100105	PATZ1	POZ/BTB and AT hook containing zinc finger 1	22q12.2	protein_coding	1	513	0.19	172	18289	0.94	511	1	0.20	8	1.57	43	8.41	0	0.00	1	Cancer Gene Census
ENSG00000100503	NIN	ninein	14q22.1	protein_coding	1	513	0.19	442	18289	2.42	511	2	0.39	3	0.59	64	12.52	0	0.00	2	Cancer Gene Census
ENSG00000100697	DICER1	dicer 1, ribonuclease III	14q32.13	protein_coding	1	513	0.19	429	18289	2.35	511	1	0.20	4	0.78	96	18.79	0	0.00	2	Cancer Gene Census
ENSG00000100721	TCL1A	TCL1 family AKT coactivator A	14q32.13	protein_coding	1	513	0.19	83	18289	0.45	511	1	0.20	4	0.78	94	18.40	0	0.00	1	Cancer Gene Census
ENSG00000101343	CRNKL1	crooked neck pre-mRNA splicing factor 1	20p11.23	protein_coding	1	513	0.19	220	18289	1.20	511	3	0.59	35	6.85	10	1.96	1	0.20	3	Cancer Gene Census
ENSG00000102145	GATA1	GATA binding protein 1	Xp11.23	protein_coding	1	513	0.19	143	18289	0.78	511	0	0.00	0	0.00	0	0.00	0	0.00	1	Cancer Gene Census
